"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
634,543,"They have a sense of humour I like","American","Women","Ranked third",3,0.24
634,543,"They have a sense of humour I like","American","Women","Ranked fourth",4,0.18
634,543,"They have a sense of humour I like","American","Women","Ranked fifth",5,0.11
634,543,"They have a sense of humour I like","American","Women","Ranked sixth",6,0.07
634,543,"They are intelligent","American","Women","Ranked first",1,0.15
634,543,"They are intelligent","American","Women","Ranked second",2,0.19
634,543,"They are intelligent","American","Women","Ranked third",3,0.25
634,543,"They are intelligent","American","Women","Ranked fourth",4,0.28
634,543,"They are intelligent","American","Women","Ranked fifth",5,0.08
634,543,"They are intelligent","American","Women","Ranked sixth",6,0.04
634,543,"They have/make a decent amount of money","American","Women","Ranked first",1,0.03
634,543,"They have/make a decent amount of money","American","Women","Ranked second",2,0.04
634,543,"They have/make a decent amount of money","American","Women","Ranked third",3,0.06
634,543,"They have/make a decent amount of money","American","Women","Ranked fourth",4,0.1
634,543,"They have/make a decent amount of money","American","Women","Ranked fifth",5,0.27
634,543,"They have/make a decent amount of money","American","Women","Ranked sixth",6,0.49
634,543,"They have similar interests to me","American","Women","Ranked first",1,0.2
634,543,"They have similar interests to me","American","Women","Ranked second",2,0.17
634,543,"They have similar interests to me","American","Women","Ranked third",3,0.18
634,543,"They have similar interests to me","American","Women","Ranked fourth",4,0.22
634,543,"They have similar interests to me","American","Women","Ranked fifth",5,0.15
634,543,"They have similar interests to me","American","Women","Ranked sixth",6,0.08
594,571,"They are good looking","Arabian","Men","Ranked first",1,0.35
594,571,"They are good looking","Arabian","Men","Ranked second",2,0.18
594,571,"They are good looking","Arabian","Men","Ranked third",3,0.16
594,571,"They are good looking","Arabian","Men","Ranked fourth",4,0.15
594,571,"They are good looking","Arabian","Men","Ranked fifth",5,0.11
594,571,"They are good looking","Arabian","Men","Ranked sixth",6,0.05
594,571,"They have a personality I like","Arabian","Men","Ranked first",1,0.29
594,571,"They have a personality I like","Arabian","Men","Ranked second",2,0.26
594,571,"They have a personality I like","Arabian","Men","Ranked third",3,0.15
594,571,"They have a personality I like","Arabian","Men","Ranked fourth",4,0.12
594,571,"They have a personality I like","Arabian","Men","Ranked fifth",5,0.13
594,571,"They have a personality I like","Arabian","Men","Ranked sixth",6,0.05
594,571,"They have a sense of humour I like","Arabian","Men","Ranked first",1,0.04
594,571,"They have a sense of humour I like","Arabian","Men","Ranked second",2,0.13
594,571,"They have a sense of humour I like","Arabian","Men","Ranked third",3,0.24
594,571,"They have a sense of humour I like","Arabian","Men","Ranked fourth",4,0.27
594,571,"They have a sense of humour I like","Arabian","Men","Ranked fifth",5,0.22
594,571,"They have a sense of humour I like","Arabian","Men","Ranked sixth",6,0.09
594,571,"They are intelligent","Arabian","Men","Ranked first",1,0.15
594,571,"They are intelligent","Arabian","Men","Ranked second",2,0.21
594,571,"They are intelligent","Arabian","Men","Ranked third",3,0.27
594,571,"They are intelligent","Arabian","Men","Ranked fourth",4,0.21
594,571,"They are intelligent","Arabian","Men","Ranked fifth",5,0.13
594,571,"They are intelligent","Arabian","Men","Ranked sixth",6,0.03
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked first",1,0.02
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked second",2,0.03
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked third",3,0.04
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked fourth",4,0.1
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked fifth",5,0.16
594,571,"They have/make a decent amount of money","Arabian","Men","Ranked sixth",6,0.65
594,571,"They have similar interests to me","Arabian","Men","Ranked first",1,0.15
594,571,"They have similar interests to me","Arabian","Men","Ranked second",2,0.19
594,571,"They have similar interests to me","Arabian","Men","Ranked third",3,0.13
594,571,"They have similar interests to me","Arabian","Men","Ranked fourth",4,0.15
594,571,"They have similar interests to me","Arabian","Men","Ranked fifth",5,0.25
594,571,"They have similar interests to me","Arabian","Men","Ranked sixth",6,0.13
406,429,"They are good looking","Arabian","Women","Ranked first",1,0.11
406,429,"They are good looking","Arabian","Women","Ranked second",2,0.1
406,429,"They are good looking","Arabian","Women","Ranked third",3,0.13
406,429,"They are good looking","Arabian","Women","Ranked fourth",4,0.17
406,429,"They are good looking","Arabian","Women","Ranked fifth",5,0.3
406,429,"They are good looking","Arabian","Women","Ranked sixth",6,0.19
406,429,"They have a personality I like","Arabian","Women","Ranked first",1,0.45
406,429,"They have a personality I like","Arabian","Women","Ranked second",2,0.2
406,429,"They have a personality I like","Arabian","Women","Ranked third",3,0.14
406,429,"They have a personality I like","Arabian","Women","Ranked fourth",4,0.08
406,429,"They have a personality I like","Arabian","Women","Ranked fifth",5,0.09
406,429,"They have a personality I like","Arabian","Women","Ranked sixth",6,0.05
406,429,"They have a sense of humour I like","Arabian","Women","Ranked first",1,0.06
406,429,"They have a sense of humour I like","Arabian","Women","Ranked second",2,0.16
406,429,"They have a sense of humour I like","Arabian","Women","Ranked third",3,0.19
406,429,"They have a sense of humour I like","Arabian","Women","Ranked fourth",4,0.24
406,429,"They have a sense of humour I like","Arabian","Women","Ranked fifth",5,0.19
406,429,"They have a sense of humour I like","Arabian","Women","Ranked sixth",6,0.16
406,429,"They are intelligent","Arabian","Women","Ranked first",1,0.15
406,429,"They are intelligent","Arabian","Women","Ranked second",2,0.25
406,429,"They are intelligent","Arabian","Women","Ranked third",3,0.22
406,429,"They are intelligent","Arabian","Women","Ranked fourth",4,0.17
406,429,"They are intelligent","Arabian","Women","Ranked fifth",5,0.11
406,429,"They are intelligent","Arabian","Women","Ranked sixth",6,0.1
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked first",1,0.04
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked second",2,0.09
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked third",3,0.14
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked fourth",4,0.14
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked fifth",5,0.22
406,429,"They have/make a decent amount of money","Arabian","Women","Ranked sixth",6,0.37
406,429,"They have similar interests to me","Arabian","Women","Ranked first",1,0.19
406,429,"They have similar interests to me","Arabian","Women","Ranked second",2,0.21
406,429,"They have similar interests to me","Arabian","Women","Ranked third",3,0.17
406,429,"They have similar interests to me","Arabian","Women","Ranked fourth",4,0.2
406,429,"They have similar interests to me","Arabian","Women","Ranked fifth",5,0.09
406,429,"They have similar interests to me","Arabian","Women","Ranked sixth",6,0.14
483,501,"They are good looking","Australian","Men","Ranked first",1,0.18
483,501,"They are good looking","Australian","Men","Ranked second",2,0.13
483,501,"They are good looking","Australian","Men","Ranked third",3,0.17
483,501,"They are good looking","Australian","Men","Ranked fourth",4,0.19
483,501,"They are good looking","Australian","Men","Ranked fifth",5,0.26
483,501,"They are good looking","Australian","Men","Ranked sixth",6,0.08
483,501,"They have a personality I like","Australian","Men","Ranked first",1,0.42
483,501,"They have a personality I like","Australian","Men","Ranked second",2,0.23
483,501,"They have a personality I like","Australian","Men","Ranked third",3,0.15
483,501,"They have a personality I like","Australian","Men","Ranked fourth",4,0.09
483,501,"They have a personality I like","Australian","Men","Ranked fifth",5,0.07
483,501,"They have a personality I like","Australian","Men","Ranked sixth",6,0.03
483,501,"They have a sense of humour I like","Australian","Men","Ranked first",1,0.1
483,501,"They have a sense of humour I like","Australian","Men","Ranked second",2,0.27
483,501,"They have a sense of humour I like","Australian","Men","Ranked third",3,0.27
483,501,"They have a sense of humour I like","Australian","Men","Ranked fourth",4,0.18
483,501,"They have a sense of humour I like","Australian","Men","Ranked fifth",5,0.14
483,501,"They have a sense of humour I like","Australian","Men","Ranked sixth",6,0.03
483,501,"They are intelligent","Australian","Men","Ranked first",1,0.14
483,501,"They are intelligent","Australian","Men","Ranked second",2,0.16
483,501,"They are intelligent","Australian","Men","Ranked third",3,0.2
483,501,"They are intelligent","Australian","Men","Ranked fourth",4,0.25
483,501,"They are intelligent","Australian","Men","Ranked fifth",5,0.18
483,501,"They are intelligent","Australian","Men","Ranked sixth",6,0.06
483,501,"They have/make a decent amount of money","Australian","Men","Ranked first",1,0.02
483,501,"They have/make a decent amount of money","Australian","Men","Ranked second",2,0.03
483,501,"They have/make a decent amount of money","Australian","Men","Ranked third",3,0.05
483,501,"They have/make a decent amount of money","Australian","Men","Ranked fourth",4,0.06
