"Region","Country","Date","Weekday","Holiday Name","Holiday Type","Where It is Observed"
"North America","Anguilla ",2017-01-02,"Monday","New Year's Day","Public Holiday",NA
"North America","Anguilla ",2017-03-02,"Thursday","James Ronald Webster Day","Public Holiday",NA
"North America","Anguilla ",2017-03-20,"Monday","March equinox","Season",NA
"North America","Anguilla ",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Anguilla ",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Anguilla ",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Anguilla ",2017-05-30,"Tuesday","Anguilla Day","Public Holiday",NA
"North America","Anguilla ",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Anguilla ",2017-06-12,"Monday","Sovereign's Birthday","Public Holiday",NA
"North America","Anguilla ",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Anguilla ",2017-08-19,"Saturday","Constitution Day","Public Holiday",NA
"North America","Anguilla ",2017-09-22,"Friday","September equinox","Season",NA
"North America","Anguilla ",2017-12-19,"Tuesday","Separation Day","Public Holiday",NA
"North America","Anguilla ",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Anguilla ",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Anguilla ",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Antigua and Barbuda",2017-03-20,"Monday","March equinox","Season",NA
"North America","Antigua and Barbuda",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-05-01,"Monday","Labour Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Antigua and Barbuda",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Antigua and Barbuda",2017-08-07,"Monday","J'ouvert Morning","Public Holiday",NA
"North America","Antigua and Barbuda",2017-08-08,"Tuesday","Carnival Last Lap","Public Holiday",NA
"North America","Antigua and Barbuda",2017-09-22,"Friday","September equinox","Season",NA
"North America","Antigua and Barbuda",2017-11-01,"Wednesday","Independence Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-09,"Saturday","National Heroes Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Antigua and Barbuda",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Antigua and Barbuda",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Aruba",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Aruba",2017-01-25,"Wednesday","Betico Croes' Birthday","Public Holiday",NA
"North America","Aruba",2017-03-18,"Saturday","National Anthem and Flag Day","Public Holiday",NA
"North America","Aruba",2017-03-20,"Monday","March equinox","Season",NA
"North America","Aruba",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Aruba",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Aruba",2017-04-27,"Thursday","King's Day","Public Holiday",NA
"North America","Aruba",2017-05-01,"Monday","Labor Day","Public Holiday",NA
"North America","Aruba",2017-05-25,"Thursday","Ascension Day","Public Holiday",NA
"North America","Aruba",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Aruba",2017-09-22,"Friday","September equinox","Season",NA
"North America","Aruba",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Aruba",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Aruba",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Barbados",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Barbados",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Barbados",2017-01-21,"Saturday","Errol Barrow Day","Public Holiday",NA
"North America","Barbados",2017-02-14,"Tuesday","Valentine's Day","Observance",NA
"North America","Barbados",2017-03-20,"Monday","March equinox","Season",NA
"North America","Barbados",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Barbados",2017-04-16,"Sunday","Easter Sunday","Observance",NA
"North America","Barbados",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Barbados",2017-04-28,"Friday","National Heroes Day","Public Holiday",NA
"North America","Barbados",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Barbados",2017-05-14,"Sunday","Mothers' Day","Observance",NA
"North America","Barbados",2017-06-04,"Sunday","Whit Sunday","Observance",NA
"North America","Barbados",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Barbados",2017-06-18,"Sunday","Fathers' Day","Observance",NA
"North America","Barbados",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Barbados",2017-08-01,"Tuesday","Emancipation Day","Public Holiday",NA
"North America","Barbados",2017-08-07,"Monday","Kadooment Day","Public Holiday",NA
"North America","Barbados",2017-09-22,"Friday","September equinox","Season",NA
"North America","Barbados",2017-10-31,"Tuesday","Halloween","Observance",NA
"North America","Barbados",2017-11-30,"Thursday","Independence Day","Public Holiday",NA
"North America","Barbados",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Barbados",2017-12-24,"Sunday","Christmas Eve","Observance",NA
"North America","Barbados",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Barbados",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Barbados",2017-12-31,"Sunday","Old Year's Night","Observance",NA
"North America","Belize",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Belize",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Belize",2017-03-09,"Thursday","National Heroes and Benefactors Day","Public Holiday",NA
"North America","Belize",2017-03-20,"Monday","March equinox","Season",NA
"North America","Belize",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Belize",2017-04-15,"Saturday","Holy Saturday","Public Holiday",NA
"North America","Belize",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Belize",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Belize",2017-05-24,"Wednesday","Commonwealth Day","Public Holiday",NA
"North America","Belize",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Belize",2017-09-10,"Sunday","St. George's Caye Day","Public Holiday",NA
"North America","Belize",2017-09-21,"Thursday","Independence Day","Public Holiday",NA
"North America","Belize",2017-09-22,"Friday","September equinox","Season",NA
"North America","Belize",2017-10-12,"Thursday","Pan American Day","Public Holiday",NA
"North America","Belize",2017-11-19,"Sunday","Garifuna Settlement Day","Public Holiday",NA
"North America","Belize",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Belize",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Belize",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","British Virgin Islands",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","British Virgin Islands",2017-03-05,"Sunday","Lavity Stoutt's Birthday","Public Holiday",NA
"North America","British Virgin Islands",2017-03-12,"Sunday","Commonwealth Day","Public Holiday",NA
"North America","British Virgin Islands",2017-03-20,"Monday","March equinox","Season",NA
"North America","British Virgin Islands",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","British Virgin Islands",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","British Virgin Islands",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","British Virgin Islands",2017-06-10,"Saturday","Sovereign's Birthday","Public Holiday",NA
"North America","British Virgin Islands",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","British Virgin Islands",2017-07-01,"Saturday","Territory Day","Public Holiday",NA
"North America","British Virgin Islands",2017-08-01,"Tuesday","Festival Tuesday","Public Holiday",NA
"North America","British Virgin Islands",2017-08-02,"Wednesday","Festival Wednesday","Public Holiday",NA
"North America","British Virgin Islands",2017-08-07,"Monday","Festival Monday","Public Holiday",NA
"North America","British Virgin Islands",2017-09-22,"Friday","September equinox","Season",NA
"North America","British Virgin Islands",2017-10-21,"Saturday","Saint Ursula's Day","Public Holiday",NA
"North America","British Virgin Islands",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","British Virgin Islands",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","British Virgin Islands",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Canada",2017-01-01,"Sunday","Last day of Hanukkah","Jewish holiday",NA
"North America","Canada",2017-01-01,"Sunday","New Year's Day","National holiday",NA
"North America","Canada",2017-01-02,"Monday","New Year's Day observed","National holiday",NA
"North America","Canada",2017-01-02,"Monday","Day After New Year’s Day","Local holiday","Quebec"
"North America","Canada",2017-01-06,"Friday","Epiphany","Observance, Christian",NA
"North America","Canada",2017-01-07,"Saturday","Orthodox Christmas Day","Orthodox",NA
"North America","Canada",2017-01-14,"Saturday","Orthodox New Year","Orthodox",NA
"North America","Canada",2017-01-28,"Saturday","Chinese New Year","Observance",NA
"North America","Canada",2017-02-02,"Thursday","Groundhog Day","Observance",NA
"North America","Canada",2017-02-11,"Saturday","Tu B'Shevat (Arbor Day)","Jewish holiday",NA
"North America","Canada",2017-02-13,"Monday","Family Day","Common Local holidays","British Columbia"
"North America","Canada",2017-02-14,"Tuesday","Valentine's Day","Observance",NA
"North America","Canada",2017-02-15,"Wednesday","National Flag of Canada Day","Observance",NA
"North America","Canada",2017-02-20,"Monday","Islander Day","Common Local holidays","Prince Edward Island"
"North America","Canada",2017-02-20,"Monday","Family Day","Common Local holidays","AB, ON, SK"
"North America","Canada",2017-02-20,"Monday","Nova Scotia Heritage Day","Common Local holidays","Nova Scotia"
"North America","Canada",2017-02-20,"Monday","Louis Riel Day","Common Local holidays","Manitoba"
"North America","Canada",2017-02-24,"Friday","Yukon Heritage Day","Local holiday","Yukon"
"North America","Canada",2017-02-28,"Tuesday","Carnival/Shrove Tuesday","Christian",NA
"North America","Canada",2017-03-01,"Wednesday","Ash Wednesday","Christian",NA
"North America","Canada",2017-03-01,"Wednesday","St David's Day","Observance",NA
"North America","Canada",2017-03-12,"Sunday","Purim","Jewish holiday",NA
"North America","Canada",2017-03-12,"Sunday","Daylight Saving Time starts","Clock change/Daylight Saving Time",NA
"North America","Canada",2017-03-13,"Monday","Commonwealth Day","Observance",NA
"North America","Canada",2017-03-17,"Friday","St. Patrick's Day","Observance",NA
"North America","Canada",2017-03-20,"Monday","March equinox","Season",NA
"North America","Canada",2017-03-20,"Monday","St. Patrick's Day","Local holiday","Newfoundland and Labrador"
"North America","Canada",2017-04-06,"Thursday","National Tartan Day","Observance",NA
"North America","Canada",2017-04-09,"Sunday","Palm Sunday","Christian",NA
"North America","Canada",2017-04-09,"Sunday","Vimy Ridge Day","Observance",NA
"North America","Canada",2017-04-11,"Tuesday","First day of Passover","Jewish holiday",NA
"North America","Canada",2017-04-13,"Thursday","Maundy Thursday","Christian",NA
"North America","Canada",2017-04-14,"Friday","Orthodox Good Friday","Orthodox",NA
"North America","Canada",2017-04-14,"Friday","Good Friday","National holiday, Christian",NA
"North America","Canada",2017-04-15,"Saturday","Holy Saturday","Christian",NA
"North America","Canada",2017-04-15,"Saturday","Orthodox Holy Saturday","Orthodox",NA
"North America","Canada",2017-04-16,"Sunday","Orthodox Easter","Orthodox",NA
"North America","Canada",2017-04-16,"Sunday","Easter Sunday","Observance, Christian",NA
"North America","Canada",2017-04-17,"Monday","Orthodox Easter Monday","Orthodox",NA
"North America","Canada",2017-04-17,"Monday","Easter Monday","Observance","Alberta"
"North America","Canada",2017-04-17,"Monday","Easter Monday","Common Local holidays","BC, NB, PE, QC, YT"
"North America","Canada",2017-04-18,"Tuesday","Last day of Passover","Jewish holiday",NA
"North America","Canada",2017-04-24,"Monday","Yom HaShoah","Jewish holiday",NA
"North America","Canada",2017-04-24,"Monday","Isra and Mi'raj","Muslim",NA
"North America","Canada",2017-04-24,"Monday","St. George's Day","Local holiday","Newfoundland and Labrador"
"North America","Canada",2017-05-02,"Tuesday","Yom HaAtzmaut","Jewish holiday",NA
"North America","Canada",2017-05-14,"Sunday","Lag B'Omer","Jewish holiday",NA
"North America","Canada",2017-05-14,"Sunday","Mother's Day","Observance",NA
"North America","Canada",2017-05-22,"Monday","Victoria Day","Common Local holidays","All except NS, NU, QC"
"North America","Canada",2017-05-22,"Monday","National Patriots' Day","Local holiday","Quebec"
"North America","Canada",2017-05-25,"Thursday","Ascension Day","Christian",NA
"North America","Canada",2017-05-27,"Saturday","Ramadan begins","Muslim",NA
"North America","Canada",2017-05-31,"Wednesday","Shavuot","Jewish holiday",NA
"North America","Canada",2017-06-04,"Sunday","Pentecost","Christian",NA
"North America","Canada",2017-06-05,"Monday","Whit Monday","Christian",NA
"North America","Canada",2017-06-11,"Sunday","Trinity Sunday","Christian",NA
"North America","Canada",2017-06-15,"Thursday","Corpus Christi","Christian",NA
"North America","Canada",2017-06-18,"Sunday","Father's Day","Observance",NA
"North America","Canada",2017-06-21,"Wednesday","Laylat al-Qadr (Night of Destiny)","Muslim",NA
"North America","Canada",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Canada",2017-06-21,"Wednesday","National Aboriginal Day","Local holiday","Northwest Territories"
"North America","Canada",2017-06-21,"Wednesday","National Aboriginal Day","Observance",NA
"North America","Canada",2017-06-24,"Saturday","St. Jean Baptiste Day","Local holiday","Quebec"
"North America","Canada",2017-06-26,"Monday","Eid-al-Fitr","Muslim",NA
"North America","Canada",2017-06-26,"Monday","Discovery Day","Local holiday","Newfoundland and Labrador"
"North America","Canada",2017-07-01,"Saturday","Canada Day","National holiday",NA
"North America","Canada",2017-07-01,"Saturday","Memorial Day","Local observance","Newfoundland and Labrador"
"North America","Canada",2017-07-03,"Monday","Canada Day - additional statutory holiday","National holiday",NA
"North America","Canada",2017-07-09,"Sunday","Nunavut Day","Local holiday","Nunavut"
"North America","Canada",2017-07-10,"Monday","Orangemen's Day","Local holiday","Newfoundland and Labrador"
"North America","Canada",2017-07-10,"Monday","Nunavut Day observed","Local holiday","Nunavut"
"North America","Canada",2017-08-01,"Tuesday","Tisha B'Av","Jewish holiday",NA
"North America","Canada",2017-08-02,"Wednesday","The Royal St John's Regatta (Regatta Day)","Local holiday","Newfoundland and Labrador"
"North America","Canada",2017-08-07,"Monday","Heritage Day in Alberta","Common Local holidays","Alberta"
"North America","Canada",2017-08-07,"Monday","Civic/Provincial Day","Common Local holidays","NT, ON, PE, SK"
"North America","Canada",2017-08-07,"Monday","Terry Fox Day","Common Local holidays","Manitoba"
"North America","Canada",2017-08-07,"Monday","New Brunswick Day","Common Local holidays","New Brunswick"
"North America","Canada",2017-08-07,"Monday","British Columbia Day","Common Local holidays","British Columbia"
"North America","Canada",2017-08-07,"Monday","Natal Day","Common Local holidays","Nova Scotia"
"North America","Canada",2017-08-15,"Tuesday","Assumption of Mary","Christian",NA
"North America","Canada",2017-08-18,"Friday","Gold Cup Parade","Local holiday","Prince Edward Island"
"North America","Canada",2017-08-21,"Monday","Discovery Day","Local holiday","Yukon"
"North America","Canada",2017-09-02,"Saturday","Eid-al-Adha","Muslim",NA
"North America","Canada",2017-09-04,"Monday","Labour Day","National holiday","All"
"North America","Canada",2017-09-21,"Thursday","Rosh Hashana","Jewish holiday",NA
"North America","Canada",2017-09-22,"Friday","Muharram/Islamic New Year","Muslim",NA
"North America","Canada",2017-09-22,"Friday","September equinox","Season",NA
"North America","Canada",2017-09-30,"Saturday","Yom Kippur","Jewish holiday",NA
"North America","Canada",2017-10-04,"Wednesday","Feast of St Francis of Assisi","Christian",NA
"North America","Canada",2017-10-05,"Thursday","First day of Sukkot","Jewish holiday",NA
"North America","Canada",2017-10-09,"Monday","Thanksgiving Day","National holiday","All except NB, NL, NS, PE"
"North America","Canada",2017-10-09,"Monday","Thanksgiving Day","Observance","NB, NL, NS, PE"
"North America","Canada",2017-10-11,"Wednesday","Last day of Sukkot","Jewish holiday",NA
"North America","Canada",2017-10-12,"Thursday","Shmini Atzeret","Jewish holiday",NA
"North America","Canada",2017-10-13,"Friday","Simchat Torah","Jewish holiday",NA
"North America","Canada",2017-10-18,"Wednesday","Diwali/Deepavali","Observance",NA
"North America","Canada",2017-10-18,"Wednesday","Healthcare Aide Day","Observance","British Columbia, Manitoba"
"North America","Canada",2017-10-31,"Tuesday","Halloween","Observance",NA
"North America","Canada",2017-11-01,"Wednesday","All Saints' Day","Observance",NA
"North America","Canada",2017-11-02,"Thursday","All Souls' Day","Christian",NA
"North America","Canada",2017-11-05,"Sunday","Daylight Saving Time ends","Clock change/Daylight Saving Time",NA
"North America","Canada",2017-11-11,"Saturday","Remembrance Day","National holiday","All except NL, NS, ON, QC"
"North America","Canada",2017-11-11,"Saturday","Remembrance Day","Observance","Ontario"
"North America","Canada",2017-11-21,"Tuesday","National Aboriginal Day","Local holiday","Yukon"
"North America","Canada",2017-12-01,"Friday","Prophet's Birthday","Muslim",NA
"North America","Canada",2017-12-03,"Sunday","First Sunday of Advent","Observance",NA
"North America","Canada",2017-12-08,"Friday","Feast of the Immaculate Conception","Christian",NA
"North America","Canada",2017-12-11,"Monday","Anniversary of the Statute of Westminster","Observance",NA
"North America","Canada",2017-12-13,"Wednesday","First Day of Hanukkah","Jewish holiday",NA
"North America","Canada",2017-12-20,"Wednesday","Last day of Hanukkah","Jewish holiday",NA
"North America","Canada",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Canada",2017-12-24,"Sunday","Christmas Eve","Observance",NA
"North America","Canada",2017-12-25,"Monday","Christmas","National holiday, Christian",NA
"North America","Canada",2017-12-26,"Tuesday","Boxing Day","Common Local holidays","MB, NB, NL, NS, ON, PE, YT"
"North America","Canada",2017-12-31,"Sunday","New Year's Eve","Observance",NA
"North America","Cayman Islands",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Cayman Islands",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Cayman Islands",2017-01-23,"Monday","National Heroes Day","Public Holiday",NA
"North America","Cayman Islands",2017-02-14,"Tuesday","Valentine's Day","Observance",NA
"North America","Cayman Islands",2017-03-01,"Wednesday","Ash Wednesday","Public Holiday",NA
"North America","Cayman Islands",2017-03-20,"Monday","March equinox","Season",NA
"North America","Cayman Islands",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Cayman Islands",2017-04-16,"Sunday","Easter Sunday","Observance",NA
"North America","Cayman Islands",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Cayman Islands",2017-05-14,"Sunday","Mothers' Day","Observance",NA
"North America","Cayman Islands",2017-05-15,"Monday","Discovery Day","Public Holiday",NA
"North America","Cayman Islands",2017-05-24,"Wednesday","General Election Day","Public Holiday",NA
"North America","Cayman Islands",2017-06-18,"Sunday","Fathers' Day","Observance",NA
"North America","Cayman Islands",2017-06-19,"Monday","Queen's Birthday","Public Holiday",NA
"North America","Cayman Islands",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Cayman Islands",2017-07-03,"Monday","Constitution Day","Public Holiday",NA
"North America","Cayman Islands",2017-09-22,"Friday","September equinox","Season",NA
"North America","Cayman Islands",2017-10-31,"Tuesday","Halloween","Observance",NA
"North America","Cayman Islands",2017-11-13,"Monday","Remembrance Day","Public Holiday",NA
"North America","Cayman Islands",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Cayman Islands",2017-12-24,"Sunday","Christmas Eve","Observance",NA
"North America","Cayman Islands",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Cayman Islands",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Cayman Islands",2017-12-31,"Sunday","New Year's Eve","Observance",NA
"North America","Costa Rica",2017-01-01,"Sunday","New Year's Day","National holiday",NA
"North America","Costa Rica",2017-03-19,"Sunday","Saint Joseph's Day","Observance",NA
"North America","Costa Rica",2017-03-20,"Monday","March equinox","Season",NA
"North America","Costa Rica",2017-04-11,"Tuesday","Battle of Rivas","National holiday",NA
"North America","Costa Rica",2017-04-13,"Thursday","Maundy Thursday","National holiday, Christian",NA
"North America","Costa Rica",2017-04-14,"Friday","Good Friday","National holiday, Christian",NA
"North America","Costa Rica",2017-05-01,"Monday","Labor Day / May Day","National holiday",NA
"North America","Costa Rica",2017-06-18,"Sunday","Father´s Day","Observance",NA
"North America","Costa Rica",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Costa Rica",2017-07-25,"Tuesday","Annexation of Guanacaste","National holiday",NA
"North America","Costa Rica",2017-08-02,"Wednesday","Our Lady of Los Ángeles","Observance",NA
"North America","Costa Rica",2017-08-15,"Tuesday","Mother Day","National holiday",NA
"North America","Costa Rica",2017-08-24,"Thursday","National Parks´ Day","Observance",NA
"North America","Costa Rica",2017-09-09,"Saturday","Children´s Day","Observance",NA
"North America","Costa Rica",2017-09-15,"Friday","Independence Day","National holiday",NA
"North America","Costa Rica",2017-09-22,"Friday","September equinox","Season",NA
"North America","Costa Rica",2017-10-12,"Thursday","Day of the Cultures","Observance",NA
"North America","Costa Rica",2017-11-02,"Thursday","All Souls' Day","Observance",NA
"North America","Costa Rica",2017-11-22,"Wednesday","Teacher´s Day","Observance",NA
"North America","Costa Rica",2017-12-08,"Friday","Feast of the Immaculate Conception","Observance",NA
"North America","Costa Rica",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Costa Rica",2017-12-25,"Monday","Christmas Day","National holiday, Christian",NA
"North America","Costa Rica",2017-12-31,"Sunday","New Year´s Eve","Observance",NA
"North America","Cuba",2017-01-01,"Sunday","Liberation Day","National holiday",NA
"North America","Cuba",2017-01-02,"Monday","New Year Day","National holiday",NA
"North America","Cuba",2017-01-06,"Friday","Epiphany","Observance",NA
"North America","Cuba",2017-01-28,"Saturday","José Martí´s Birthday Memorial","Observance",NA
"North America","Cuba",2017-03-12,"Sunday","Daylight Saving Time starts","Clock change/Daylight Saving Time",NA
"North America","Cuba",2017-03-20,"Monday","March equinox","Season",NA
"North America","Cuba",2017-04-09,"Sunday","Palm Sunday","Observance, Christian",NA
"North America","Cuba",2017-04-13,"Thursday","Maundy Thursday","Observance, Christian",NA
"North America","Cuba",2017-04-14,"Friday","Good Friday","National holiday",NA
"North America","Cuba",2017-05-01,"Monday","Labor Day / May Day","National holiday",NA
"North America","Cuba",2017-05-14,"Sunday","Mother´s Day","Observance",NA
"North America","Cuba",2017-05-20,"Saturday","Independence Day","Observance",NA
"North America","Cuba",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Cuba",2017-07-25,"Tuesday","Revolution Anniversary","National holiday",NA
"North America","Cuba",2017-07-26,"Wednesday","Day of the Rebellion","National holiday",NA
"North America","Cuba",2017-07-27,"Thursday","Revolution Anniversary Celebration","National holiday",NA
"North America","Cuba",2017-09-22,"Friday","September equinox","Season",NA
"North America","Cuba",2017-10-10,"Tuesday","Beginning of the War of Independence","National holiday",NA
"North America","Cuba",2017-11-05,"Sunday","Daylight Saving Time ends","Clock change/Daylight Saving Time",NA
"North America","Cuba",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Cuba",2017-12-25,"Monday","Christmas Day","National holiday",NA
"North America","Cuba",2017-12-31,"Sunday","New Year's Eve","National holiday",NA
"North America","Curaçao",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Curaçao",2017-02-27,"Monday","Carnival Monday","Public Holiday",NA
"North America","Curaçao",2017-03-20,"Monday","March equinox","Season",NA
"North America","Curaçao",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Curaçao",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Curaçao",2017-04-27,"Thursday","King's Birthday","Public Holiday",NA
"North America","Curaçao",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Curaçao",2017-05-14,"Sunday","Mother's Day","Observance",NA
"North America","Curaçao",2017-05-25,"Thursday","Ascension Day","Public Holiday",NA
"North America","Curaçao",2017-06-04,"Sunday","Father's Day","Observance",NA
"North America","Curaçao",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Curaçao",2017-07-02,"Sunday","Flag Day","Public Holiday",NA
"North America","Curaçao",2017-09-22,"Friday","September equinox","Season",NA
"North America","Curaçao",2017-10-10,"Tuesday","Curaçao Day","Public Holiday",NA
"North America","Curaçao",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Curaçao",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Curaçao",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Dominica",2017-01-01,"Sunday","New Year's Day","Public Holiday",NA
"North America","Dominica",2017-01-02,"Monday","New Year's Day observed","Public Holiday",NA
"North America","Dominica",2017-02-27,"Monday","Carnival Monday","Public Holiday",NA
"North America","Dominica",2017-02-28,"Tuesday","Carnival Tuesday","Public Holiday",NA
"North America","Dominica",2017-03-20,"Monday","March equinox","Season",NA
"North America","Dominica",2017-04-14,"Friday","Good Friday","Public Holiday",NA
"North America","Dominica",2017-04-17,"Monday","Easter Monday","Public Holiday",NA
"North America","Dominica",2017-05-01,"Monday","Labor Day / May Day","Public Holiday",NA
"North America","Dominica",2017-06-05,"Monday","Whit Monday","Public Holiday",NA
"North America","Dominica",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Dominica",2017-08-07,"Monday","Emancipation Day","Public Holiday",NA
"North America","Dominica",2017-09-22,"Friday","September equinox","Season",NA
"North America","Dominica",2017-11-03,"Friday","Independence Day","Public Holiday",NA
"North America","Dominica",2017-11-03,"Friday","Community Service Day","Public Holiday",NA
"North America","Dominica",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Dominica",2017-12-25,"Monday","Christmas Day","Public Holiday",NA
"North America","Dominica",2017-12-26,"Tuesday","Boxing Day","Public Holiday",NA
"North America","Dominican Republic",2017-01-01,"Sunday","New Year's Day","National holiday",NA
"North America","Dominican Republic",2017-01-06,"Friday","Epiphany","National holiday",NA
"North America","Dominican Republic",2017-01-21,"Saturday","Our Lady of Altagracia","National holiday",NA
"North America","Dominican Republic",2017-01-30,"Monday","Duarte´s Day","National holiday",NA
"North America","Dominican Republic",2017-02-27,"Monday","Independence Day","National holiday",NA
"North America","Dominican Republic",2017-03-20,"Monday","March equinox","Season",NA
"North America","Dominican Republic",2017-04-13,"Thursday","Maundy Thursday","Observance, Christian",NA
"North America","Dominican Republic",2017-04-14,"Friday","Good Friday","National holiday, Christian",NA
"North America","Dominican Republic",2017-05-01,"Monday","Labor Day","National holiday",NA
"North America","Dominican Republic",2017-05-28,"Sunday","Mother's Day","Observance",NA
"North America","Dominican Republic",2017-06-15,"Thursday","Corpus Christi","National holiday",NA
"North America","Dominican Republic",2017-06-21,"Wednesday","June Solstice","Season",NA
"North America","Dominican Republic",2017-07-30,"Sunday","Father's Day","Observance",NA
"North America","Dominican Republic",2017-08-16,"Wednesday","Restoration Day","National holiday",NA
"North America","Dominican Republic",2017-09-22,"Friday","September equinox","Season",NA
"North America","Dominican Republic",2017-09-24,"Sunday","Our Lady of Las Mercedes","National holiday",NA
"North America","Dominican Republic",2017-11-06,"Monday","Constitution Day","National holiday",NA
"North America","Dominican Republic",2017-12-21,"Thursday","December Solstice","Season",NA
"North America","Dominican Republic",2017-12-24,"Sunday","Christmas Eve","Observance",NA
"North America","Dominican Republic",2017-12-25,"Monday","Christmas Day","National holiday",NA
"North America","Dominican Republic",2017-12-31,"Sunday","New Year's Eve","Observance",NA
"North America","El Salvador",2017-01-01,"Sunday","New Year's Day","National holiday",NA
"North America","El Salvador",2017-01-16,"Monday","Signing of the Peace Accords","Observance",NA
