Name,Location,Latitude,Longitude,Empire State Burger,Chicken Tikka,Gammon afternoon deal,Chocolate Brownie,Doom Bar,Birra Moretti,Porn Star at 2 x £12,Porn Star (glass),MEAL,Notes,Moretti as a % of a tikka,Moretti as % of burger,PRICE BUCKETS,Food cost £,Drink cost £
The Alexander Bain,Wick,58.44234,-3.090623,£8.75,£7.40,£6.65,£3.85,£2.19,£3.09,n/a,£7.60,£25.28,,41.76%,35.31%,£25.21+,£16.15,£5.28
The Smithy Fold,Glossop,53.4425755,-1.9487549,£8.70,£7.40,£5.85,£3.85,£2.49,£3.09,£6.30,n/a,£25.53,,41.76%,35.52%,£25.21+,£16.10,£5.58
The White House,Luton,51.8813217,-0.418092,£8.75,£7.29,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.27,,42.39%,35.31%,£25.21+,£16.04,£5.38
The Picture House,Colwyn Bay,53.2968126,-3.7277334,£8.90,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.32,,42.98%,34.72%,£25.21+,£16.09,£5.38
JJ Moon's ,"Ruislip Manor, London",51.5733447,-0.4133048,£8.75,£7.19,£5.90,£3.85,£2.55,£3.09,£6.30,n/a,£25.43,,42.98%,35.31%,£25.21+,£15.94,£5.64
JJ Moon's ,"Kingsbury, London",51.5846627,-0.2799536,£8.75,£7.19,£5.90,£3.85,£2.35,£3.09,£6.30,n/a,£25.23,,42.98%,35.31%,£25.21+,£15.94,£5.44
The Robert Peel,Bury,53.5938069,-2.2981393,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
Spa Lane Vaults,Chesterfield,53.235216,-1.424157,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
The Wheatsheaf Inn,Wisbech,52.6633344,0.1629662,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
The George Hotel,Peterborough,52.64967,-0.478388,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,n/a,£5.90,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
The Old Swanne Inne,Great Malvern,52.138695,-2.300025,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
The Gary Cooper,Biggleswade,51.8897179,-0.5211071,£8.75,£7.19,£5.90,£3.85,£2.29,£3.09,£6.30,n/a,£25.17,,42.98%,35.31%,£25.20-,£15.94,£5.38
The Wicket Gate,Chester-le-Street,54.8521509,-1.5734839,£8.75,£7.19,n/a,£3.85,£2.25,£3.09,n/a,£6.20,£25.13,,42.98%,35.31%,£25.20-,£15.94,£5.34
The King Johns Tavern,Hartlepool,54.6845893,-1.2155453,£8.75,£7.19,£5.90,£3.85,£1.99,£3.09,n/a,£6.30,£24.87,,42.98%,35.31%,£25.20-,£15.94,£5.08
The Tuesday Bell,Lisburn,54.5102729,-6.0467909,£8.70,£7.19,n/a,£3.75,£2.15,£3.09,n/a,£6.25,£24.88,K=2 for £10 or 2 for £14,42.98%,35.52%,£25.20-,£15.89,£5.24
The Ward Jackson,Hartlepool,54.6855594,-1.2085987,£8.49,£7.19,£5.90,£3.85,£2.05,£3.09,£6.30,n/a,£24.67,,42.98%,36.40%,£25.20-,£15.68,£5.14
The Queen's Arms,Winsford,53.191348,-2.5303022,£8.49,£6.40,£5.90,£3.35,£2.19,£3.09,n/a,£5.85,£23.52,,48.28%,36.40%,£25.20-,£14.89,£5.28
The Wheatsheaf,Ellesmere Port,53.2829026,-2.9230642,£9.35,£5.90,£5.40,£3.35,£2.19,£3.09,n/a,£5.80,£23.88,,52.37%,33.05%,£25.20-,£15.25,£5.28
The Edwin Waugh,Heywood,53.5937796,-2.2213722,£8.25,£5.40,£5.85,£3.85,£2.29,£3.09,£6.30,n/a,£22.88,,57.22%,37.45%,£25.20-,£13.65,£5.38
The Tremenheere,Penzance,50.1185361,-5.5368634,£10.35,£8.40,£5.75,£3.90,£2.45,£3.05,£6.30,n/a,£28.15,,36.31%,29.47%,£27.50+,£18.75,£5.50
The Ran Wartha,St Austell,50.3387213,-4.7933559,£10.35,£8.40,£5.75,£3.90,£2.39,£3.05,£6.30,n/a,£28.09,,36.31%,29.47%,£27.50+,£18.75,£5.44
The Coinage Hall,Helston,50.1008466,-5.2751801,£10.35,£8.40,£5.75,£3.90,£2.39,£3.05,£6.30,n/a,£28.09,,36.31%,29.47%,£27.50+,£18.75,£5.44
The Draper's Arms,Peterborough,52.5730015,-0.2463635,£8.75,£8.29,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£26.23,,36.79%,34.86%,£25.21+,£17.04,£5.34
The Shay Wake,Oldham,53.5778964,-2.0929616,£8.75,£7.90,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.84,,38.61%,34.86%,£25.21+,£16.65,£5.34
The Falcon,High Wycome,51.6292349,-0.7512765,£8.75,£7.90,£5.90,£3.85,£2.29,£3.05,n/a,£5.85,£25.84,,38.61%,34.86%,£25.21+,£16.65,£5.34
Chapel an Gansblydhen,Bodmin,50.4710268,-4.7234645,£8.95,£7.79,£5.55,£3.45,£2.29,£3.05,n/a,£5.80,£25.53,,39.15%,34.08%,£25.21+,£16.74,£5.34
The Coliseum Picture Theatre,Cleethorpes,53.5609044,-0.0312133,£8.75,£7.59,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.53,,40.18%,34.86%,£25.21+,£16.34,£5.34
The George Inn,Sandbach,53.1433211,-2.3622614,£8.75,£7.49,£5.85,£3.85,£2.29,£3.05,£6.30,n/a,£25.43,,40.72%,34.86%,£25.21+,£16.24,£5.34
The Thomas Leaper,Derby,52.9241893,-1.4776877,£8.75,£7.40,£5.90,£3.85,£2.39,£3.05,£6.30,n/a,£25.44,,41.22%,34.86%,£25.21+,£16.15,£5.44
The Standing Order,Derby,52.9240057,-1.4777848,£8.75,£7.40,£5.90,£3.85,£2.39,£3.05,£6.30,n/a,£25.44,,41.22%,34.86%,£25.21+,£16.15,£5.44
The Babington Arms,Derby,52.919013,-1.4762484,£8.75,£7.40,£5.90,£3.85,£2.39,£3.05,£6.30,n/a,£25.44,,41.22%,34.86%,£25.21+,£16.15,£5.44
The Postal Order,Worcester,52.1955031,-2.2219114,£8.75,£7.40,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.34,,41.22%,34.86%,£25.21+,£16.15,£5.34
The Bell,Aylesbury,51.8155239,-0.812264,£8.75,£7.40,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.34,,41.22%,34.86%,£25.21+,£16.15,£5.34
The Stanley Jefferson,Bishop Auckland,54.6653322,-1.6730772,£8.75,£7.40,£5.90,£3.85,£2.15,£3.05,£6.30,n/a,£25.20,,41.22%,34.86%,£25.21+,£16.15,£5.20
The College Arms,Peterborough,52.5752794,-0.2417445,£8.55,£7.40,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.14,,41.22%,35.67%,£25.20-,£15.95,£5.34
The York Palace,Llanelli,51.6810748,-4.1630654,£8.75,£7.19,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£25.13,,42.42%,34.86%,£25.20-,£15.94,£5.34
The Sir Nigel Gresley,Swadlincote,52.7738274,-1.5577967,£8.49,£7.19,£5.90,£3.85,£2.29,£3.05,£6.30,n/a,£24.87,,42.42%,35.92%,£25.20-,£15.68,£5.34
The Weeping Ash,St Neots,52.2287836,-0.2691785,£8.45,£7.19,£5.50,£3.85,£2.29,£3.05,£6.30,n/a,£24.83,,42.42%,36.09%,£25.20-,£15.64,£5.34
