Name,Location,Latitude,Longitude,Empire State Burger,Chicken Tikka,Gammon afternoon deal,Chocolate Brownie,Doom Bar,Birra Moretti,Porn Star at 2 x £12,Porn Star (glass),MEAL,Notes,Moretti as a % of a tikka,Moretti as % of burger,PRICE BUCKETS,Food cost £,Drink cost £
The Art Picture House,Bury,53.591441,-2.2983,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Robert Shaw,Westhoughton,53.548828,-2.5223887,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Bishop Blaize,Stretford,53.4612614,-2.2891414,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Tim Bobbin,Urmston,53.448196,-2.357192,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Sedge Lynn,Chorlton-cum-Hardy,53.4442491,-2.278723,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Calverts Court,Stockport,53.4102611,-2.157573,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Unicorn,Altrincham,53.384319,-2.351982,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Wilfred Wood,Stockport,53.3794383,-2.1204325,£8.75,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.27,,44.37%,36.46%,£25.21+,£15.94,£5.48
The Moon Under Water,Wigan,53.5458882,-2.631667,£8.75,£7.19,£5.90,£3.85,£2.19,£3.19,£6.30,n/a,£25.17,,44.37%,36.46%,£25.20-,£15.94,£5.38
The Premier,Widnes,53.3704852,-2.724547,£8.75,£7.19,£5.90,£3.85,£2.19,£3.19,£6.30,n/a,£25.17,,44.37%,36.46%,£25.20-,£15.94,£5.38
The Water House,Durham,54.777318,-1.581012,£8.75,£7.19,£5.90,£3.85,£2.05,£3.19,n/a,£6.20,£25.03,,44.37%,36.46%,£25.20-,£15.94,£5.24
The Furness Railway,Barrow-In-Furness,54.115768,-3.227962,£8.49,£7.19,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.01,,44.37%,37.57%,£25.20-,£15.68,£5.48
The Henry Bessemer,Workington,54.643079,-3.548038,£8.75,£6.99,£5.90,£3.85,£2.29,£3.19,£6.30,n/a,£25.07,,45.64%,36.46%,£25.20-,£15.74,£5.48
