"Year","ISO_Code","Countries","Summary Index","Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally","Regulation"
2015,"ALB","Albania",7.54362653903924,7.96367174984566,5.00348881914799,9.58562523694898,8.11245174364721,7.05289514560636
2015,"DZA","Algeria",4.84252111006344,3.5599608856085,4.55181720271156,6.85278987296335,4.00843196172372,5.23960562731009
2015,"AGO","Angola",5.40219909057042,5.95568565046171,2.96026371835486,6.88546476045122,5.14399796255448,6.06558336102984
2015,"ARG","Argentina",4.87735589051964,4.86979901520409,3.81636162025036,6.45533073145041,3.73078748059814,5.51450060509521
2015,"ARM","Armenia",7.60235509415154,7.11773318514182,5.77780372136286,9.48122547750006,8.24261948711806,7.39239359963488
2015,"AUS","Australia",7.99372600005153,6.59256519757602,7.99481064819806,9.36013850987267,7.60074243961934,8.42037320499156
2015,"AUT","Austria",7.65593484289657,5.08727189083123,8.01554135707988,9.61660040355335,8.12194708953427,7.43831347348416
2015,"AZE","Azerbaijan",6.38331611019578,5.19015489554675,5.3213830030598,7.30781206510062,7.10309942352863,6.99413116374312
2015,"BHS","Bahamas",7.30072093562378,7.97279305846101,6.80080997047392,6.84400871837634,6.71686833489566,8.16912459591198
2015,"BHR","Bahrain",7.37556225756425,6.76739793156089,5.26560160396992,9.18206096940277,7.42533675182654,8.23741403106111
2015,"BGD","Bangladesh",6.3225952266531,8.82630476899331,3.01713395046405,7.02942331011241,5.99086227592332,6.7492518277724
2015,"BRD","Barbados",6.47232338847151,6.30473548567877,5.75672306127661,6.72258376672183,7.08990074737246,6.48767388130787
2015,"BEL","Belgium",7.43925870323443,3.92958948091201,7.25459950823488,9.66007033621139,8.26008994001175,8.09194425080211
2015,"BLZ","Belize",6.50276455179315,7.00046205186087,4.31589900974285,6.96365659602551,6.35673735501068,7.87706774632585
2015,"BEN","Benin",5.77283127102845,5.79728042371978,3.58076545298447,6.93499057398154,5.92492031195069,6.62619959250578
2015,"BTN","Bhutan",7.10624958583767,7.75279616421191,6.85961990266494,7.02871862149954,6.26712770774404,7.62298553306791
2015,"BOL","Bolivia",6.02872403718906,6.16868688892451,3.5811338843807,8.72721803063777,6.84737024580044,4.8192111362019
2015,"BIH","Bosnia and Herzegovina",6.60669764542219,5.33025344731913,4.23921142030374,8.44258028428638,7.77756876351092,7.24387431169076
2015,"BWA","Botswana",7.36839866963274,5.99983170379869,6.16480035479457,9.0848828421054,7.7219526560452,7.87052579141984
2015,"BRA","Brazil",5.74645256147098,5.25175457283807,4.4513001797816,7.96580768613975,6.88446071555242,4.17893965304304
2015,"BRN","Brunei Darussalam",6.75945166379263,5,5.2391225745387,8.47732130388215,6.98787301750388,8.0929414230384
2015,"BGR","Bulgaria",7.39164595768667,7.01472014511134,4.88313021271215,9.35506549164405,8.13358630801325,7.57172763095253
2015,"BFA","Burkina Faso",5.87134043031056,5.5625,3.59758113768108,7.06087649928325,6.6113674356026,6.52437707898588
2015,"BDI","Burundi",6.07853327318076,6.14338235294118,3.09182540983878,7.77822441735189,6.10436731838518,7.27486686738677
2015,"KHM","Cambodia",7.2072830885658,7.86825726594425,4.35499366360089,9.29541311111046,7.31060875337022,7.2071426488032
2015,"CMR","Cameroon",5.91976676360361,7.994716215485,3.25737929819337,7.09635937553023,4.96170465010592,6.28867427870352
2015,"CAN","Canada",7.94343777741918,5.86503066209896,7.85068011685898,9.58251067472452,7.87376160269271,8.54520583072071
2015,"CPV","Cape Verde",6.65923265194296,5.13273187523423,6.07731725977454,8.35816884739688,7.04845297251592,6.67949230479323
2015,"CAF","Central Afr. Rep.",4.62412767215478,6.56414160697361,1.8492764068204,4.7973620035115,4.65395678690652,5.25590155656188
2015,"TCD","Chad",5.25691428961799,6.93838756210931,2.76778204990102,6.51695591721947,5.15520221464505,4.90624370421509
2015,"CHL","Chile",7.76933028353799,7.90778289882898,6.45011763268094,9.31017057897166,8.2134217667301,6.96515854047825
2015,"CHN","China",6.39879014468455,5.07651065875942,5.63308376537563,8.28116314675083,6.63261669874035,6.37057645379653
2015,"COL","Colombia",6.39588683417612,6.1387133028775,3.79377468806414,8.02613753280328,6.91497338223426,7.10583526490144
2015,"COD","Congo, Dem. R.",5.45252175095584,5.42436688571887,2.65311921072809,7.99363686283083,5.44827422481749,5.74321157068391
2015,"COG","Congo, Rep. Of",4.80871963441554,4.64411764705882,3.40822577544934,5.74423352799519,4.71002478683147,5.53699643474287
2015,"CRI","Costa Rica",7.51950076028884,7.60554047878469,5.76898009000471,9.75938130465667,7.9920571340798,6.47154479391832
2015,"CIV","Cote d'Ivoire",5.87789645703709,5.55229163246798,4.55710668949593,7.00230625811646,5.58296640512999,6.69481129997508
2015,"HRV","Croatia",7.02468623642242,4.72430193722812,5.69397499733637,9.28172644104151,8.17801284045644,7.24541496604967
2015,"CYP","Cyprus",7.78772467980541,7.21369658244665,5.83617216563349,9.68625395423958,8.21985378362292,7.98264691308443
2015,"CZE","Czech Rep.",7.46481289734812,5.19385172993734,6.23987131502021,9.57545088575058,8.20943067498619,8.10545988104628
2015,"DNK","Denmark",7.76589878167426,4.07227049830395,8.2468721366991,9.60938079102605,8.41569965004067,8.48527083230156
2015,"DOM","Dominican Rep.",7.21458307300469,7.76952140437181,4.06963660093814,9.50828923817906,8.18244422492565,6.54302389660876
2015,"ECU","Ecuador",5.88264859883957,5.32576133995833,3.89314908104914,8.09829157756373,6.53203788431667,5.56400311130997
2015,"EGY","Egypt",5.7336168736442,5.85144135505321,3.4796579539536,8.77992732218263,5.59608703278762,4.96097070424393
