"","name","AreaSqKm","state"
"156","Williamson Lake",5.009,"MN"
"157","Long Hike Lake",0.982,"MN"
"158","Osinawi Lake",4.279,"MN"
"159","Sapawe Lake",4.893,"MN"
"160","Light Lake",1.768,"MN"
"161","Pogo Lake",0.352,"MN"
"162","Elbow Lake",5.649,"MN"
"163","Lake Superior",28643.9011016,"MN"
"164","Fourmile Lake",2.37,"MN"
"165","Sawbill Lake",3.3752504,"MN"
"166","Maraboeuf Lake",1.589,"MN"
"167","North Temperance Lake",0.75345103,"MN"
"168","Crescent Lake",3.01390248,"MN"
"169","Long Island Lake",3.625,"MN"
"170","Lichen Lake",1.01275874,"MN"
"171","Tait Lake",1.40933261,"MN"
"172","Deer Yard Lake",1.368,"MN"
"173","Pillsbery Lake",0.267,"MN"
"174","Poplar Lake",3.005,"MN"
"175","Duncan Lake",1.95805112,"MN"
"176","Rose Lake",2.57940296,"MN"
"177","Deer Lake",0.309,"MN"
"178","Lenore Lake",2.20376039,"MN"
"179","Pyramid Lake",3.326,"MN"
"180","Nemiman Lake",1.154,"MN"
"181","Miserable Lake",1.094,"MN"
"182","Worthy Lake",1.647,"MN"
"183","Peterkin Lake",2.721,"MN"
"184","Argon Lake",1.931,"MN"
"185","Siskiwit Lake",16.644,"MN"
"186","Lac La Belle",4.88359567,"MN"
"187","Burnt Point Lake",0.32465693,"MN"
"188","Otter Lake",1.89006866,"MN"
"189","Mud Lake",0.408,"MN"
"190","Mankey Slough",0.483,"MN"
"191","Hill Lake",0.516,"MN"
"192","Summit Lake",0.04,"MN"
"193","Whitestone Lake",0.868,"MN"
"194","Brush Lake",0.019,"MN"
"195","Brush Lake",0.793,"MN"
"196","Lake Mitchell",0.807,"MN"
"197","Lost Lake",0.384,"MN"
"198","Clear Lake",0.0653529,"MN"
"199","Summit Lake",0.689,"MN"
"200","Molumby Slough",0.817,"MN"
"201","Indian Slough",0.118,"MN"
"202","Mud Lake",0.55,"MN"
"203","Buffalo Slough",0.999,"MN"
"204","Lake Bdesaka",0.607,"MN"
"205","Pyror Slough",0.131,"MN"
"206","Lake Wold",0.02,"MN"
"207","South Coteau Lake",1.014,"MN"
"208","North Coteau Lake",0.419,"MN"
"209","Lake Wilcox",0.028,"MN"
"210","West Toqua Lake",1.256,"MN"
"211","Pavlik Lakes",0.019,"MN"
"212","Pegg Lake",0.396,"MN"
"213","Lannon Lake",0.457,"MN"
"214","Lindgren Lake",0.083,"MN"
"215","Walter Lake",0.137,"MN"
"216","Bentsen Lake",1.532,"MN"
"217","Lee Lake",0.553,"MN"
"218","Nelson Lake",0.292,"MN"
"219","Lake Fourteen",0.168,"MN"
"220","North Mound Creek Pool",0.041,"MN"
"221","Turtle Lake",0.744,"MN"
"222","Halverson Lake",0.625,"MN"
"223","Bijou Lake",0.887,"MN"
"224","Braaten Lake",0.38,"MN"
"225","Dry Wood Lake",1.568,"MN"
"226","Prescott Lake",0.24560653,"MN"
"227","Otter Tail River Reservoir",0.1854419,"MN"
"228","Maltrud Lake",0.478,"MN"
"229","Spring Lake",0.226,"MN"
"230","Clear Lake",0.569,"MN"
"231","Opperman Lake",0.3,"MN"
"232","Rindahl Lake",0.118,"MN"
"233","Schram Lake",0.133,"MN"
"234","Little Boyer Lake",0.069,"MN"
"235","South Barnes Lake",0.316,"MN"
"236","Cameron Lake",0.914,"MN"
"237","Northwest Pool",0.02226803,"MN"
"238","Birch Lake",0.085,"MN"
"239","Sproul Lake",0.22,"MN"
"240","Rice Lake",0.1,"MN"
"241","Scott Lake",0.253,"MN"
"242","Lake Eunice",1.492,"MN"
"243","Willow Water Lake",0.232,"MN"
"244","Clausen Lake",0.051,"MN"
"245","West Olson Lake",0.091,"MN"
"246","Current Lake",1.581,"MN"
"247","Holtz Lake",0.319,"MN"
"248","Moon Lake",0.127,"MN"
"249","Lake Wilson",0.332,"MN"
"250","Beers Lake",0.952,"MN"
"251","Loon Lake",0.633,"MN"
"252","Gerdin Lake",0.127,"MN"
"253","Brauner Lake",0.109,"MN"
"254","Crystal Lake",0.755,"MN"
"255","Shauer Lake",0.356,"MN"
"256","Rosvold Lake",0.301,"MN"
"257","Moen Lake",0.115,"MN"
"258","Formo Lake",0.829,"MN"
"259","Norway Lake",1.642,"MN"
