"","name","AreaSqKm","state"
"1490","Baby Shingwak Lake",0.807,"MN"
"1491","Biddison Lake",1.699,"MN"
"1492","Schistose Lake",3.403,"MN"
"1493","West Jackfish Lake",8.991,"MN"
"1494","Helena Lake",0.991,"MN"
"1495","Brooks Lake",4.781,"MN"
"1496","Ash Lake",1.972,"MN"
"1497","Gryphon Lake",1.216,"MN"
"1498","Mister Lake",2.145,"MN"
"1499","Frypan Lake",1.199,"MN"
"1500","Bat Lake",3.41,"MN"
"1501","Harris Lake",11.436,"MN"
"1502","Nickel Lake",1.07,"MN"
"1503","Kahabeness Lake",2.036,"MN"
"1504","Carleton Lake",1.282,"MN"
"1505","Lower Manitou Lake",72.332,"MN"
"1506","Sunshine Lake",5.864,"MN"
"1507","Marais Lake",3.11199916,"MN"
"1508","Big Round Lake",4.102,"MN"
"1509","Third Finger Lake",1.37807844,"MN"
"1510","Pike Lake",1.95,"MN"
"1511","Fish Lake Reservoir",12.819,"MN"
"1512","Island Lake Reservoir",24.184,"MN"
"1513","Boulder Lake Reservoir",13.30390996,"MN"
"1514","Upper Saint Croix Lake",3.353,"MN"
"1515","Lake Minnesuing",1.823,"MN"
"1516","Upper Eau Claire Lake",4.45,"MN"
"1517","Oriniack Lake",2.965,"MN"
"1518","Loon Lake",8.16421709,"MN"
"1519","Buck Lake",0.817,"MN"
"1520","Ramshead Lake",2.22276962,"MN"
"1521","Eagles Nest Lake Number Three",4.123,"MN"
"1522","Crab Lake",2.19482285,"MN"
"1523","Lake Agnes",4.199,"MN"
"1524","Big Rice Lake",1.60508347,"MN"
"1525","Stuart Lake",3.119,"MN"
"1526","Big Lake",7.55753774,"MN"
"1527","Slim Lake",1.25482533,"MN"
"1528","One Pine Lake",1.42856551,"MN"
"1529","Greenwood Lake",5.338,"MN"
"1530","Dumbbell Lake",1.675,"MN"
"1531","Silver Island Lake",4.976,"MN"
"1532","Ogishkemuncie Lake",3.114,"MN"
"1533","Frear Lake",1.293,"MN"
"1534","Jasper Lake",1.038,"MN"
"1535","Howard Lake",0.658,"MN"
"1536","Alpine Lake",3.585,"MN"
"1537","Little Saganaga Lake",6.643,"MN"
"1538","Mahon Lake",1.283,"MN"
"1539","Whalen Lake",3.072,"MN"
"1540","Chub Lake",2.553,"MN"
"1541","Bewag Lake",2.039,"MN"
"1542","Jackfish Lake",1.222,"MN"
"1543","Steep Rock Lake",6.186,"MN"
"1544","Hardtack Lake",1.864,"MN"
"1545","Bradshaw Lake",1.454,"MN"
"1546","Companion Lakes",5.442,"MN"
"1547","Elliott Lake",0.557,"MN"
"1548","Van Nostrand Lake",2.411,"MN"
"1549","Old Man Lake",4.765,"MN"
"1550","Tuscarora Lake",3.191,"MN"
"1551","Jack Lake",0.47197109,"MN"
"1552","Lake Clara",1.56304655,"MN"
"1553","Davis Lake",1.292,"MN"
"1554","Little Cascade Lake",1.051,"MN"
"1555","Little Iron Lake",0.45859815,"MN"
"1556","North Lake",2.206,"MN"
"1557","Meeds Lake",1.407,"MN"
"1558","Horseshoe Lake",0.758,"MN"
"1559","Crystal Lake",0.82859302,"MN"
"1560","Greenwood Lake",8.196,"MN"
"1561","Moose Lake",2.18710005,"MN"
"1562","Tom Lake",1.65643598,"MN"
"1563","South Fowl Lake",4.43252017,"MN"
"1564","Burnt Island Lake",1.192,"MN"
"1565","Lang Lake",1.783,"MN"
"1566","Hogarth Lake",3.459,"MN"
"1567","Lac des Mille Lacs",243.963,"MN"
"1568","Antler Lake",0.7434508,"MN"
"1569","McCormick Lake",1.43128701,"MN"
"1570","Channel Lake",1.30664487,"MN"
"1571","Lake Minnewasta",0.6197659,"MN"
"1572","Rigler Lake",0.036,"MN"
"1573","Bag Lake",0.04,"MN"
"1574","Webb Lake",2.886,"MN"
"1575","Big Trout Lake",5.52,"MN"
"1576","Rush Lake",3.04,"MN"
"1577","Inguadona Lake",4.526,"MN"
"1578","Cross Lake",7.152,"MN"
"1579","West Fox Lake",1.813,"MN"
"1580","Wolf Lake",4.337,"MN"
"1581","Cow Horn Lake",2.52,"MN"
"1582","Apple River Flowage 134",2.44624778,"MN"
"1583","West Pike Lake",3.189,"MN"
"1584","Mud Lake",0.313,"MN"
"1585","Lake Mary",0.771,"MN"
"1586","Lake Whipple",0.347,"MN"
"1587","Fensterman Slough",0.641,"MN"
"1588","Clear Lake",1.924,"MN"
"1589","Twin Lakes",0.633,"MN"
"1590","Pederson Slough",0.197,"MN"
"1591","Punished Womans Lake",1.965,"MN"
"1592","Anderson Slough",0.341,"MN"
"1593","Ketchum Lake",0.335,"MN"
"1594","Clear Lake",2.135,"MN"
"1595","Lake Farley",0.308,"MN"
"1596","Clear Lake",0.233,"MN"
"1597","Briggs Lake",0.333,"MN"
"1598","Lake Cochrane",1.469,"MN"
"1599","Blue Eagle Lake",0.05,"MN"
"1600","Hatchet Lake",0.087,"MN"
"1601","Deep Lake",0.127,"MN"
"1602","Bolland Slough",0.059,"MN"
"1603","Maria Lake",0.435,"MN"
"1604","Mud Lake",0.28459568,"MN"
"1605","Seiger Group Pond",0.09127715,"MN"
"1606","Horseshoe Lake",0.151,"MN"
"1607","Anfinson Lake",0.043,"MN"
"1608","Perch Lake",0.16,"MN"
"1609","Flora Lake",0.181,"MN"
"1610","Kurass Lake",0.148,"MN"
"1611","Burk Lake",0.147,"MN"
"1612","Lake Laura",0.23,"MN"
"1613","Swede Grove Lake",0.629,"MN"
"1614","Hawks Nest Lake",1.21166511,"MN"
"1615","Lake Jacobs",0.485,"MN"
"1616","Lake Thirteen",0.201,"MN"
"1617","Jergenson Lake",0.248,"MN"
"1618","Cable Lake",0.318,"MN"
"1619","Lake Haldorsen",0.688,"MN"
"1620","Anderson Lake",0.19,"MN"
"1621","Granrud Lake",0.106,"MN"
"1622","Helgeson Lake",0.438,"MN"
"1623","Stony Lake",0.459,"MN"
"1624","York Lake",0.236,"MN"
"1625","Doughty Lake",0.66427849,"MN"
"1626","Devils Lake",1.247,"MN"
"1627","Mollar Lake",0.119,"MN"
"1628","Hart Lake",0.475,"MN"
"1629","Pletan Lake",0.249,"MN"
"1630","Horseshoe Lake",0.436,"MN"
"1631","Horan Lake",0.307,"MN"
"1632","Engbarth Slough",0.094,"MN"
"1633","Niemackl Lakes",0.991,"MN"
"1634","Stony Brook Lake",0.456,"MN"
"1635","Hodgson Lake",0.201,"MN"
"1636","Apple Lake",0.206,"MN"
"1637","Werk Lake",0.529,"MN"
"1638","Northwest Pool",0.22911298,"MN"
"1639","Bradley Lake",0.508,"MN"
"1640","Flekkefjord Lake",0.438,"MN"
"1641","Lake Maud",2.056,"MN"
"1642","Jay Lake",0.096,"MN"
"1643","Audubon Lake",0.316,"MN"
"1644","Hjermstad Slough",0.173,"MN"
"1645","Loon Lake",0.231,"MN"
"1646","Minnetonka Lake",0.165,"MN"
"1647","Olson Lake",0.11,"MN"
"1648","Bubak Lake",0.026,"MN"
"1649","Kuriko Lake",0.154,"MN"
"1650","Whisky Lake",0.076,"MN"
"1651","Cataract Lake",0.081,"MN"
"1652","Foot Lake",0.354,"MN"
"1653","Skunk Lake",0.264,"MN"
"1654","Grinder Lake",0.204,"MN"
"1655","Hansel Lake",0.467,"MN"
"1656","Larson Lake",0.191,"MN"
"1657","Eddy Lake",0.555,"MN"
"1658","Pearl Lake",1.035,"MN"
"1659","North Stang Lake",0.117,"MN"
"1660","Oppegaard Lake",0.159,"MN"
"1661","Big Crow Lake",0.2826438,"MN"
"1662","Minnow Pond",0.038,"MN"
"1663","Morrison Lake",0.216,"MN"
"1664","Munson Lake",0.519,"MN"
"1665","Rush Lake",0.121,"MN"
"1666","Frisk Lake",0.197,"MN"
"1667","Vinge Lake",0.778,"MN"
"1668","Club Lake",0.09,"MN"
"1669","Saint Clair Lake",0.575,"MN"
"1670","Pearson Lake",0.012,"MN"
"1671","Brokke Lake",0.011,"MN"
"1672","Lee Lake",0.206,"MN"
"1673","German Lake",0.298,"MN"
"1674","Anna Lake",2.077,"MN"
"1675","Slough Lake",0.121,"MN"
"1676","Blocknic Lake",0.069,"MN"
"1677","Sharp Lake",0.531,"MN"
"1678","Kemp Lake",0.212,"MN"
"1679","Johnson Lake",0.69,"MN"
"1680","Reeves Lake",0.342,"MN"
"1681","Mud Lake",0.035,"MN"
"1682","Raben Lake",0.055,"MN"
"1683","Enerson Lake",0.336,"MN"
"1684","Rolf Lake",0.221,"MN"
"1685","Mud Lake",0.438,"MN"
"1686","Elbow Lake",0.371,"MN"
"1687","Little Oak Lake",0.3,"MN"
"1688","Chief Lake",0.491,"MN"
"1689","Lake of the Hill",0.4485391,"MN"
"1690","Erickson Lake",0.187,"MN"
"1691","Ask Lake",0.254,"MN"
"1692","Hoffman Lake",0.586,"MN"
"1693","Bad Boy Lake",0.205,"MN"
"1694","Willow Lake",0.257,"MN"
"1695","Stilke Lake",0.071,"MN"
"1696","Schultz Lake",0.372,"MN"
"1697","Mulgri Lake",0.053,"MN"
"1698","Little Sugar Bush Lake",0.857,"MN"
"1699","Hallot Lake",0.103,"MN"
"1700","Solvie Slough",0.477,"MN"
"1701","Davidson Lake",0.635,"MN"
"1702","Third Silver Lake",0.482,"MN"
"1703","Pickerel Lake",0.107,"MN"
"1704","Mill Lake",0.164,"MN"
"1705","Hollo Lake",0.331,"MN"
"1706","Round Lake",0.644,"MN"
"1707","Fairy Lake",0.587,"MN"
"1708","Youman Lake",0.108,"MN"
"1709","Chain Lake",0.113,"MN"
"1710","Bass Lake",0.51,"MN"
"1711","Simonson Lake",0.435,"MN"
"1712","Overby Lake",0.185,"MN"
"1713","Big Slough",1.391,"MN"
"1714","Pete Lake",0.153,"MN"
"1715","Pickle Lake",0.108,"MN"
"1716","Sawmill Lake",0.286,"MN"
"1717","First Lake",0.007,"MN"
"1718","Roland Lake",0.365,"MN"
"1719","Rusch Lake",0.426,"MN"
"1720","Chokecherry Lake",0.092,"MN"
"1721","Annawaush Lake",0.127,"MN"
"1722","Volden Lake",0.129,"MN"
"1723","Breeze Lake",0.161,"MN"
"1724","Big Rock Lake",0.129,"MN"
"1725","Rooster Lake",0.12,"MN"
"1726","Lee Lake",0.24,"MN"
"1727","Bolme Lake",0.19,"MN"
"1728","Gertrude Lake",0.067,"MN"
"1729","Albertson Lake",0.192,"MN"
"1730","Quam Lake",0.742,"MN"
"1731","Sunset Lake",0.148,"MN"
"1732","Ceynowa Lake",0.13,"MN"
"1733","Little Flat Lake",0.831,"MN"
"1734","Sham Lake",0.51,"MN"
"1735","Irgens Lake",0.787,"MN"
"1736","Pike Lake",1.007,"MN"
"1737","Hanson Lake",0.138,"MN"
"1738","Robbins Slough",0.41,"MN"
"1739","Solem Lake",0.147,"MN"
"1740","Holleque Lake",0.257,"MN"
"1741","Stockhaven Lake",0.918,"MN"
"1742","Perch Lake",0.57,"MN"
"1743","Anderson Lake",0.001,"MN"
"1744","Blackbird Lake",0.67,"MN"
"1745","Larson Lake",0.362,"MN"
"1746","Little Elbow Lake",0.64,"MN"
"1747","Mud Lake",1.353,"MN"
"1748","Stein Lake",0.021,"MN"
"1749","Lizzy Lake",0.249,"MN"
"1750","Ballard Lake",0.233,"MN"
"1751","Golden Pond",0.118,"MN"
"1752","Lake Rachel",1.70165472,"MN"
"1753","Deusch Lake",0.354,"MN"
"1754","Lake Jessie",1.08,"MN"
"1755","Gundar Lake",0.173,"MN"
"1756","Signalness Lake",0.157,"MN"
"1757","Grubb Lake",0.316,"MN"
"1758","Little Bass Lake",0.205,"MN"
"1759","Beaver Lake",0.065,"MN"
"1760","Sargeant Lake",0.051,"MN"
"1761","Kinbrae Lake",0.342,"MN"
"1762","Kolstad Lake",0.299,"MN"
"1763","Wilmoe Lake",0.02,"MN"
"1764","Cahill Lake",0.645,"MN"
"1765","Iowa Lake",0.89,"MN"
"1766","Kvistid Lake",0.216,"MN"
"1767","John Lake",0.465,"MN"
"1768","Pickerel Lake",0.492,"MN"
"1769","Miskogineu Lake",0.547,"MN"
"1770","Hoff Lake",0.409,"MN"
"1771","Dumbbell Lake",0.432,"MN"
"1772","Waptus Lake",0.191,"MN"
"1773","Aspinwall Lake",0.566,"MN"
"1774","Helle Lake",0.216,"MN"
"1775","Frederick Lake",0.185,"MN"
"1776","Edma Lake",0.421,"MN"
"1777","Bass Lake",0.508,"MN"
"1778","Bobs Lake",0.24899738,"MN"
"1779","Collier Lake",0.233,"MN"
"1780","Middlebro Pond",0.018,"MN"
"1781","Lake Henry",0.606,"MN"
"1782","Miller Lake",0.117,"MN"
"1783","Stassen Lake",0.048,"MN"
"1784","Lake Frank",0.553,"MN"
"1785","Third Lake",0.132,"MN"
"1786","Scandinavian Lake",1.648,"MN"
"1787","Little Carver Lake",0.018,"MN"
"1788","Johnson Lake",0.24,"MN"
"1789","Rush Lake",0.728,"MN"
"1790","Nordeen Slough",0.009,"MN"
"1791","Long Lake",0.039,"MN"
"1792","Mallard Lake",0.079,"MN"
"1793","Graven Lake",0.07,"MN"
"1794","Mud Lake",0.475,"MN"
"1795","Twin Island Lake",0.231,"MN"
"1796","South Twin Lake",0.129,"MN"
"1797","Mink Lake",0.067,"MN"
"1798","Myrtle Lake",0.048,"MN"
"1799","Little Lake",0.007,"MN"
"1800","Ozawindib Lake",0.639,"MN"
"1801","Robinson Lake",0.302,"MN"
"1802","Eckert Lake",0.251,"MN"
"1803","Little Lake",0.052,"MN"
"1804","Augusta Lake",0.046,"MN"
"1805","Nicolet Lake",0.033,"MN"
"1806","Hays Lake",0.033,"MN"
"1807","Tracey Slough",0.362,"MN"
"1808","Shipman Lake",0.248,"MN"
"1809","Duncan Lake",0.044,"MN"
"1810","Fence Lake",0.111,"MN"
"1811","String Lakes",0.423,"MN"
"1812","Cummings Lake",0.016,"MN"
"1813","Gold Mine Lake",0.024,"MN"
"1814","Rocky Mountain Lake",0.391,"MN"
"1815","Jeanne Lake",0.032,"MN"
"1816","Lake Itasca",0.001,"MN"
"1817","Little Round Lake",0.032,"MN"
"1818","Iron Corner Lake",0.052,"MN"
"1819","Arco Lake",0.022,"MN"
"1820","Lost Lake",0.22,"MN"
"1821","Twin Lakes",0.03,"MN"
"1822","Center Lake",1.043,"MN"
"1823","Rose Lake",0.204,"MN"
"1824","Lost Lake",0.456,"MN"
"1825","Whitefish Lake",0.349,"MN"
"1826","Parso Lake",0.431,"MN"
"1827","Skull Lake",0.191,"MN"
"1828","Lord Lake",0.242,"MN"
"1829","Laxon Lake",0.073,"MN"
"1830","Maiden Lake",0.119,"MN"
"1831","Lake Florida",2.815,"MN"
"1832","Cranberry Lake",0.033,"MN"
"1833","Lake Independence",0.328,"MN"
"1834","Tiger Lake",0.205,"MN"
"1835","Wolf Lake",0.06,"MN"
"1836","Fox Lake",0.153,"MN"
"1837","Winter Road Lake",0.762,"MN"
"1838","Pleasant Lake",0.317,"MN"
"1839","Point Lake",0.698,"MN"
"1840","Pony Lake",0.441,"MN"
"1841","Sweitzer Lake",0.443,"MN"
"1842","Sawyer Lake",0.2,"MN"
"1843","Muskrat Lake",0.217,"MN"
"1844","Bog Lake",0.576,"MN"
"1845","Twin Lakes",0.602,"MN"
"1846","Lake Eight",0.165,"MN"
"1847","Balif Lake",0.049,"MN"
"1848","Round Lake",0.105,"MN"
"1849","Beaver Lake",0.147,"MN"
"1850","Long Lake",0.027,"MN"
"1851","Lake Shemahgun",0.238,"MN"
"1852","Midportage Lake",0.015,"MN"
"1853","Man Lake",0.133,"MN"
"1854","Brokaw Lake",0.092,"MN"
"1855","Endportage Lake",0.042,"MN"
"1856","Juergens Lake",0.474,"MN"
"1857","Gilmore Lake",0.368,"MN"
"1858","Kinney Lake",0.127,"MN"
"1859","Smith Lake",0.128,"MN"
"1860","Rice Lake",0.096,"MN"
"1861","Little Rice Lake",0.296,"MN"
"1862","Cheever Lake",0.456,"MN"
"1863","Potter Lake",0.234,"MN"
"1864","Taits Lake",0.099,"MN"
"1865","Tucker Lake",0.135,"MN"
"1866","Mud Lake",0.085,"MN"
"1867","Fourth Crow Wing Lake",1.848,"MN"
"1868","Little Gulch Lakes",0.055,"MN"
"1869","Larson Lake",0.81,"MN"
"1870","Nebish Lake",0.292,"MN"
"1871","Ross Lake",0.139,"MN"
"1872","Mumm Lake",0.136,"MN"
"1873","Edwards Lake",0.1,"MN"
"1874","Swamp Lake",0.229,"MN"
"1875","Marcus Lake",0.194,"MN"
"1876","Fox Lake",0.672,"MN"
"1877","Sperry Lake",0.535,"MN"
"1878","Lake Henry",0.887,"MN"
"1879","Meyer Lake",0.29,"MN"
"1880","Bladder Lake",0.902,"MN"
"1881","Black Oak Lake",0.404,"MN"
"1882","Bass Lake",0.456,"MN"
"1883","Indian Lake",0.209,"MN"
"1884","Bauer Lake",0.056,"MN"
"1885","Dahn Lake",0.184,"MN"
"1886","Ninth Crow Wing Lake",0.926,"MN"
"1887","Little Bass Lake",1.469,"MN"
"1888","Cranberry Lake",0.248,"MN"
"1889","Chick Lake",0.487,"MN"
"1890","Fawn Lake",0.489,"MN"
"1891","Mud Lake",0.205,"MN"
"1892","Buffalo Lake",0.327,"MN"
"1893","Sleepy Eye Lake",0.84,"MN"
"1894","Hudallas Lake",0.059,"MN"
"1895","Johnson Lake",0.043,"MN"
"1896","Wolf Lake",0.057,"MN"
"1897","Toms Lake",0.24243032,"MN"
"1898","Little Midge Lake",0.194,"MN"
"1899","Buckhorn Lake",0.102,"MN"
"1900","Horseshoe Lake",1.079,"MN"
"1901","Getchell Lake",0.286,"MN"
"1902","Swenson Lake",1.658,"MN"
"1903","Hatmaker Lake",0.759,"MN"
"1904","Inglis Lake",0.201,"MN"
"1905","Clam Lake",0.272,"MN"
"1906","Mary Lake",0.128,"MN"
"1907","Bee Tree Lake",0.037,"MN"
"1908","Spider Lake",0.554,"MN"
"1909","Schreiers Lake",0.115,"MN"
"1910","Rock Lake",0.038,"MN"
"1911","Swamp Lake",2.401,"MN"
"1912","Carter Lake",0.114,"MN"
"1913","Zanders Lake",0.198,"MN"
"1914","Lost Lake",0.028,"MN"
"1915","Silver Lake",0.512,"MN"
"1916","Round Lake",0.167,"MN"
"1917","Lake Madaline",0.163,"MN"
"1918","Cedar Lake",0.185,"MN"
"1919","Jackpine Lake",0.595,"MN"
"1920","Chub Lake",0.248,"MN"
"1921","Wheeler Lake",0.12,"MN"
"1922","Evenson Lake",0.50390265,"MN"
"1923","Round Lake",0.066,"MN"
"1924","Pierce Lake",1.73748435,"MN"
"1925","Portage Lake",1.129,"MN"
"1926","Twin Lake",0.657,"MN"
"1927","Hoosier Lake",0.42125073,"MN"
"1928","Kuhl Lake",0.008,"MN"
"1929","Moon Pond",0.017,"MN"
"1930","Hogans Lake",0.012,"MN"
"1931","Crooked Lake",0.052,"MN"
"1932","Strawberry Lake",0.169,"MN"
"1933","Mud Lake",0.301,"MN"
"1934","Mud Lake",0.374,"MN"
"1935","Pale Lake",0.01142013,"MN"
"1936","Beuber Lake",0.52,"MN"
"1937","Conklin Lake",0.085,"MN"
"1938","Mud Lake",0.205,"MN"
"1939","Willmert Lake",1.294,"MN"
"1940","Long Lake",0.609,"MN"
"1941","Kreighle Lake",0.412,"MN"
"1942","Star Lake",0.068,"MN"
"1943","Buffalo Lake",0.983,"MN"
"1944","Little Long Lake",0.115,"MN"
"1945","Deep Lake",0.073,"MN"
"1946","Little Moose Lake",0.929,"MN"
"1947","Clear Lake",2.161,"MN"
"1948","Big Watab Lake",0.979,"MN"
"1949","Quick Lake",0.017,"MN"
"1950","Holden Lake",0.039,"MN"
"1951","Lake Allen",0.48,"MN"
"1952","Ferrell Lake",0.196,"MN"
"1953","Long Lake",0.26253269,"MN"
"1954","Little Red Sand Lake",0.038,"MN"
"1955","Goose Lake",0.59,"MN"
"1956","Grass Lake",0.461,"MN"
"1957","Decker Lake",0.897,"MN"
"1958","Sand Lake",0.457,"MN"
"1959","Lake Addie",0.695,"MN"
"1960","Kraemer Lake",0.764,"MN"
"1961","Sylvan Lake",0.44,"MN"
"1962","Cranberry Lake",0.578,"MN"
"1963","Bass Lake",0.134,"MN"
"1964","Deadman Lake",0.057,"MN"
"1965","Smiley Lake",0.208,"MN"
"1966","Bass Lake",0.572,"MN"
"1967","Spring Lake",0.049,"MN"
"1968","McKeown Lake",0.662,"MN"
"1969","Desbiens Lake",0.347,"MN"
"1970","Love Lake",0.303,"MN"
"1971","Goose Lake",0.121,"MN"
"1972","Cedar Lake",0.53,"MN"
"1973","Lieberg Lake",0.295,"MN"
"1974","Lake Harrington",0.047,"MN"
"1975","Rausch Lake",0.287,"MN"
"1976","Popple Lake",0.051,"MN"
"1977","Mud Lake",0.136,"MN"
"1978","Mud Lake",0.279,"MN"
"1979","Bass Lake",0.137,"MN"
"1980","Tamarack Lake",0.178,"MN"
"1981","Stony Lake",0.138,"MN"
"1982","Lake Byron",1.368,"MN"
"1983","Lake Betsy",0.619,"MN"
"1984","Silver Lake",0.478,"MN"
"1985","Marshall Lake",0.114,"MN"
"1986","Little Silver Lake",0.025,"MN"
"1987","Three Island Lake",1.16,"MN"
"1988","Loon Lake",1.34,"MN"
"1989","Sup Lake",0.095,"MN"
"1990","Horseshoe Lake",0.047,"MN"
"1991","Mud Lake",0.207,"MN"
"1992","Beaver Dam Lake",0.079,"MN"
"1993","Lake Union",0.355,"MN"
"1994","Gibson Lake",0.037,"MN"
"1995","Clover Hill Pond",0.016,"MN"
"1996","Mine Lake",0.07,"MN"
"1997","Current Lake",0.054,"MN"
"1998","Hamrey Lake",0.209,"MN"
"1999","Blackduck Lake",0.183,"MN"
"2000","Horn Lake",0.461,"MN"
"2001","Moose Lake",0.32163731,"MN"
"2002","Hunter Lake",0.711,"MN"
"2003","Jack Lake",0.353,"MN"
"2004","Boxell Lake",0.269,"MN"
"2005","Stokes Lake",0.176,"MN"
"2006","Mud Lake",0.004,"MN"
"2007","Garden Lake",1.043,"MN"
"2008","Johnson Lake",0.493,"MN"
"2009","Wagner Lake",0.278,"MN"
"2010","Beaver Lake",0.096,"MN"
"2011","Lake Caroline",0.519,"MN"
"2012","Crooked Lake",0.067,"MN"
"2013","Gijik Lake",0.347,"MN"
"2014","Butternut Lake",0.353,"MN"
"2015","Rice Lake",0.254,"MN"
"2016","Lily Lake",0.057,"MN"
"2017","Thirtysix Lake",0.053,"MN"
"2018","Brackett Lake",0.211,"MN"
"2019","Alice Lake",0.171,"MN"
"2020","Fiske Lake",0.257,"MN"
"2021","Mills Lake",0.937,"MN"
"2022","Mennenga Lake",0.038,"MN"
"2023","Weimann Lake",0.009,"MN"
"2024","Lake Shay",0.014,"MN"
"2025","Lavender Lake",0.117,"MN"
"2026","Thirtythree Lake",0.01,"MN"
"2027","Little Crody Lake",0.01,"MN"
"2028","Bonnie Lake",0.289,"MN"
"2029","Corral Lake",0.033,"MN"
"2030","End Lake",0.53,"MN"
"2031","Gabrielson Pool",0.11201155,"MN"
"2032","Wolf Lake",0.082,"MN"
"2033","Biauswah Lake",0.538,"MN"
"2034","Lake Roosevelt",0.022,"MN"
"2035","Upper Mission Lake",0.002,"MN"
"2036","Cranberry Lake",0.027,"MN"
"2037","Nushka Lake",0.317,"MN"
"2038","Demro Lake",0.029,"MN"
"2039","Dry Creek Lake",0.289,"MN"
"2040","Greeley Lake",0.094,"MN"
"2041","Mitt Lake",0.034,"MN"
"2042","Dark Lake",0.46,"MN"
"2043","Clear Lake",0.337,"MN"
"2044","Percy Lake",0.34,"MN"
"2045","Half Moon Lake",0.185,"MN"
"2046","Tamarack Lake",0.309,"MN"
"2047","East Percy Lake",0.151,"MN"
"2048","Ortman Lake",0.033,"MN"
"2049","Black Bear Lake",0.859,"MN"
"2050","Gelley Lake",0.434,"MN"
"2051","Melady Lake",0.14,"MN"
"2052","Henshaw Lake",1.092,"MN"
"2053","Lastrup Lake",0.005,"MN"
"2054","Wax Lake",0.379,"MN"
"2055","Little Swift Lake",0.24,"MN"
"2056","Twin Island Lake",0.29,"MN"
"2057","Goodrich Lake",1.505,"MN"
"2058","Command Lake",0.087,"MN"
"2059","Lake George",2.435,"MN"
"2060","Lucille Lake",0.431,"MN"
"2061","Little Cut Foot Sioux Lake",1.49788723,"MN"
"2062","Little Sand Lake",1.382,"MN"
"2063","Carter Lake",0.112,"MN"
"2064","Moon Lake",0.211,"MN"
"2065","Old Women Lake",0.096,"MN"
"2066","Davis Lake",0.172,"MN"
"2067","Allen Lake",0.174,"MN"
"2068","Snowshoe Lake",0.103,"MN"
"2069","Smith Lake",0.059,"MN"
"2070","Wolf Lake",0.764,"MN"
"2071","Mink Lake",0.054,"MN"
"2072","Sullivan Lake",0.159,"MN"
"2073","Whitefish Lake",2.051,"MN"
"2074","Viaduct Lake",0.179,"MN"
"2075","Ruth Lake",2.433,"MN"
"2076","Papoose Lake",0.353,"MN"
"2077","Abe Lake",0.043,"MN"
"2078","Baylor Lake",0.014,"MN"
"2079","Olander Lake",0.272,"MN"
"2080","Scout Camp Pond",0.052,"MN"
"2081","Pug Hole Lake",0.099,"MN"
"2082","Eagle Lake",0.714,"MN"
"2083","State Lake",0.254,"MN"
"2084","Hanks Lake",1.031,"MN"
"2085","Portage Lake",0.523,"MN"
"2086","Black Lake",0.406,"MN"
"2087","Albert Lake",0.165,"MN"
"2088","Assumption Lake",0.06,"MN"
"2089","Hydes Lake",0.858,"MN"
"2090","Peavy Lake",0.563,"MN"
"2091","Loon Lake",0.12,"MN"
"2092","Spring Lake",0.345,"MN"
"2093","Goose Lake",0.139,"MN"
"2094","Dog Lake",0.636,"MN"
"2095","Skunk Lake",0.144,"MN"
"2096","Humbolt Lake",0.124,"MN"
"2097","Spur Lake",0.118,"MN"
"2098","Goose Lake",1.013,"MN"
"2099","Dean Lake",0.703,"MN"
"2100","Pine Tree Impoundment",0.02,"MN"
"2101","Border Impoundment",0.021,"MN"
"2102","Trestle Lake",0.43,"MN"
"2103","David Lake",0.343,"MN"
"2104","Kishquabik Lake",0.412,"MN"
"2105","Coffee Lake",0.077,"MN"
"2106","Stark Lake",0.841,"MN"
"2107","Lake on Three",0.173,"MN"
"2108","Jim Lake",0.034,"MN"
"2109","Birch Lake",1.776,"MN"
"2110","Brennen Lake",0.036,"MN"
"2111","Rice Pad Lake",0.054,"MN"
"2112","Little Reservoir Lake",0.05,"MN"
"2113","LaCroix Lake",0.566,"MN"
"2114","Alice Lake",0.648,"MN"
"2115","Decker Lake",0.403,"MN"
"2116","Ely Lake",0.227,"MN"
"2117","Meuwissen Lake",0.095,"MN"
"2118","Wood Lake",0.138,"MN"
"2119","Taylor Lake",0.043,"MN"
"2120","Egg Lake",0.374,"MN"
"2121","Fisher Lake",0.043,"MN"
"2122","Schmidt Lake",0.801,"MN"
"2123","Duffy Lake",0.032,"MN"
"2124","Anderson Lake",0.025,"MN"
"2125","Fish Lake",0.038,"MN"
"2126","Ox Yoke Lake",0.377,"MN"
"2127","Lake Mitchell",0.645,"MN"
"2128","Hill Lake",0.106,"MN"
"2129","Pine Island Lake",0.155,"MN"
"2130","Muskeg Lake",0.102,"MN"
"2131","Leighton Lake",0.945,"MN"
"2132","Reitz Lake",0.358,"MN"
"2133","Haughey Lake",0.191,"MN"
"2134","Big Mud Lake",0.895,"MN"
"2135","Apple Lake",0.091,"MN"
"2136","Little Leighton Lake",0.167,"MN"
"2137","Goose Lake",1.117,"MN"
"2138","Mud Lake",0.283,"MN"
"2139","Avenue Lake",0.105,"MN"
"2140","Little Siseebakwet Lake",1.321,"MN"
"2141","Little Bowstring Lake",1.28,"MN"
"2142","Suttonly Lake",0.751,"MN"
"2143","Wagner Lake",0.439,"MN"
"2144","Petes Lakes",0.014,"MN"
"2145","Alp Lake",0.147,"MN"
"2146","Maki Lake",0.067,"MN"
"2147","Clear Lake",1.134,"MN"
